Timestamp	Battery	Time_ms	Q0	Q1	Q2	Q3	Acc_X	Acc_Y	Acc_Z	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6	Sensor7	Sensor8
2025-02-28 13:53:47	217	71535	3667016384	3705471296	471867648	3860888416	3856	1184	62	1060	840	1035	625	930	1050	20475	20475
2025-02-28 13:53:48	218	71986	3640041728	3731169152	474282400	3869324384	3786	1238	270	1030	835	1020	610	865	1080	20475	20475
2025-02-28 13:53:48	216	72098	3670598464	3695855616	470311488	3867243776	3888	2450	3582	1035	830	1000	635	865	1090	20475	20475
2025-02-28 13:53:48	217	72323	3696546688	3682122112	490744000	3872598528	3888	1022	-284	1045	830	955	665	885	1045	20475	20475
2025-02-28 13:53:49	219	72661	3672898368	3739863488	521116448	3863412928	3958	776	-40	1025	835	990	730	1080	1095	20475	20475
2025-02-28 13:53:49	213	72774	3668367424	3761544800	528121184	3851308864	4282	664	-122	1030	850	1080	750	1385	1255	20475	20475
2025-02-28 13:53:49	219	72999	3646889984	3787076224	498830496	3819444032	4722	1816	1232	1240	1245	1395	1215	1335	1430	20475	20475
2025-02-28 13:53:49	216	73111	3569990784	3848737248	505346720	3879246304	3504	728	1176	1310	1340	1400	1310	1280	1455	20475	20475
2025-02-28 13:53:49	216	73455	3470114112	3905064224	447308576	3947952320	3404	838	1314	1405	1420	1290	1315	1305	1430	20475	20475
2025-02-28 13:53:50	218	73685	3450572992	3933875168	424567104	3935432544	2952	1038	1318	1440	1465	1285	1315	1290	1430	20475	20475
2025-02-28 13:53:50	218	73798	3449147136	3936060896	432172800	3945807360	2726	922	1300	1440	1465	1285	1325	1305	1435	20475	20475
2025-02-28 13:53:50	221	74136	3530268672	3895525696	551547264	3971872960	3976	578	884	1455	1500	1310	1345	1285	1440	20475	20475
2025-02-28 13:53:51	221	74586	3715824640	3733379584	536809952	3832409440	4118	762	-478	1380	1255	1375	1270	1275	1435	20475	20475
2025-02-28 13:53:51	218	74811	3681962752	3722423296	517248096	3868605056	3852	1080	-146	1085	880	1025	785	1165	1150	20475	20475
2025-02-28 13:53:51	219	74924	3666078592	3712746112	502069728	3887100416	3806	1322	-294	1060	860	1035	685	1120	1095	20475	20475
2025-02-28 13:53:51	217	75261	3648144384	3688190784	454999808	3895806656	3668	1596	-26	955	815	945	790	1150	1150	20475	20475
2025-02-28 13:53:52	218	75948	3673107136	3659488896	419371040	3863114656	3704	1550	-102	795	940	955	1330	1035	1240	20475	20475
2025-02-28 13:53:52	217	76060	3666661888	3661616640	421079552	3871053312	3718	1592	-30	785	945	965	1280	1025	1235	20475	20475
